replicate,duplications,observed_duplications,losses,CNH,RKH,ILS,ILS_DLCPAR
815,5,5,0,0,0,2,1
816,3,3,0,0,0,1,1
817,2,2,0,0,0,1,1
818,1,1,0,0,0,2,2
819,4,4,0,0,0,2,2
820,6,6,0,0,0,4,3
821,1,1,0,0,1,1,1
822,5,5,0,0,1,4,2
823,3,3,0,0,0,0,0
824,10,10,0,0,3,9,8
825,4,4,0,0,1,3,3
826,2,2,0,0,1,4,2
827,16,16,0,0,2,7,5
828,3,3,0,0,2,3,3
829,4,4,0,0,2,3,2
830,1,1,0,0,0,2,1
831,6,6,0,0,4,3,3
832,3,3,0,0,0,4,3
833,1,1,0,0,0,2,1
834,5,5,0,0,3,2,2
835,2,2,0,0,1,0,0
836,7,7,0,0,4,2,1
837,4,4,0,0,0,3,2
838,5,5,0,0,1,4,3
839,19,19,0,0,4,10,9
840,4,4,0,0,0,2,2
841,0,0,0,0,0,0,0
842,0,0,0,0,0,0,0
843,2,2,0,0,1,2,2
844,3,3,0,0,1,2,1
845,4,4,0,0,1,2,1
846,2,2,0,0,0,0,0
847,4,4,0,0,1,2,2
848,7,7,0,0,2,5,4
849,3,3,0,0,0,0,0
850,2,2,0,0,0,4,3
851,1,1,0,0,0,1,1
852,1,1,0,0,0,1,1
853,5,5,0,0,0,1,1
854,2,2,0,0,0,2,2
855,9,9,0,0,2,3,3
856,1,1,0,0,1,2,2
857,5,5,0,0,0,3,2
858,0,0,0,0,0,0,0
859,4,4,0,0,1,2,2
860,2,2,0,0,0,3,2
861,5,5,0,0,2,3,2
862,2,2,0,0,1,1,1
863,3,3,0,0,0,1,1
864,2,2,0,0,1,2,1
865,0,0,0,0,0,0,0
866,5,5,0,0,1,3,2
867,0,0,0,0,0,0,0
868,13,11,0,0,2,7,5
869,9,9,0,0,0,3,3
870,15,15,0,1,3,8,8
871,0,0,0,0,0,0,0
872,3,3,0,0,1,0,0
873,4,4,0,0,0,2,1
874,0,0,0,0,0,0,0
875,5,5,0,1,1,7,6
876,14,14,0,0,3,7,7
877,4,4,0,0,1,4,3
878,1,1,0,0,0,1,1
879,7,7,0,0,1,6,5
880,1,1,0,0,0,1,1
881,0,0,0,0,0,1,1
882,6,6,0,0,1,3,2
883,7,7,0,0,1,1,1
884,4,4,0,0,3,4,4
885,4,4,0,0,1,6,4
886,6,5,0,1,1,3,3
887,0,0,0,0,0,0,0
888,1,1,0,0,0,0,0
889,0,0,0,0,0,0,0
890,9,9,0,0,2,6,4
891,12,12,0,0,4,7,7
892,2,2,0,0,2,2,2
893,1,1,0,0,1,1,1
894,1,1,0,0,0,0,0
895,10,10,0,0,2,7,5
896,6,6,0,0,5,6,4
897,4,4,0,0,3,5,5
898,4,4,0,1,1,4,3
899,31,31,0,1,9,21,20
900,4,4,0,0,1,3,3
901,2,2,0,0,0,1,1
902,2,2,0,0,2,1,1
903,5,5,0,0,0,2,2
904,5,5,0,0,0,5,3
905,7,7,0,0,4,2,2
906,3,3,0,0,0,1,1
907,9,8,0,1,4,9,8
908,7,7,0,0,0,5,3
909,7,7,0,0,0,5,4
910,1,1,0,0,0,0,0
911,2,2,0,0,1,1,1
912,2,2,0,0,1,2,2
913,0,0,0,0,0,0,0
914,4,4,0,0,0,3,3
915,2,2,0,0,1,3,2
916,8,8,0,0,2,7,6
917,4,4,0,0,1,6,3
918,20,20,0,0,9,13,11
919,4,4,0,0,3,2,2
920,2,2,0,0,1,3,2
921,0,0,0,0,0,0,0
922,13,13,0,1,4,7,7
923,2,2,0,0,1,2,1
924,2,2,0,0,0,0,0
925,4,4,0,0,0,2,2
926,0,0,0,0,0,0,0
927,6,6,0,0,1,7,5
928,3,3,0,0,0,2,2
929,4,4,0,0,1,0,0
930,0,0,0,0,0,0,0
931,8,8,0,0,0,4,3
932,25,25,0,0,8,14,12
933,9,8,0,0,5,8,7
934,12,12,0,0,4,9,6
935,1,1,0,0,0,0,0
936,0,0,0,0,0,0,0
937,1,1,0,0,0,0,0
938,3,3,0,0,1,4,2
939,13,13,0,0,2,6,5
940,5,5,0,0,2,5,3
941,3,3,0,0,1,2,2
942,3,3,0,0,0,1,1
943,1,1,0,0,0,1,1
944,1,1,0,0,1,2,2
945,6,6,0,0,2,3,3
946,2,2,0,0,1,1,1
947,0,0,0,0,0,0,0
948,5,5,0,0,2,4,4
949,3,3,0,1,1,5,5
950,4,4,0,0,0,1,1
951,0,0,0,0,0,0,0
952,0,0,0,0,0,0,0
953,4,4,0,0,1,5,4
954,1,1,0,0,0,0,0
955,2,2,0,0,0,4,2
956,0,0,0,0,0,0,0
957,0,0,0,0,0,0,0
958,4,4,0,0,0,1,1
959,10,10,0,0,2,4,4
960,4,4,0,0,2,3,2
